                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0808,                0.80432,                 1.2599,                0.82955,                0.79362,                0.87224,                0.55262,                 1.3884,                0.81788,                 1.6105,              0.0010427,              0.0010427,              0.0010427
                     69,                 1.0554,                0.80211,                 1.2451,                0.83538,                0.74689,                0.83342,                0.50625,                 1.4416,                0.92873,                  1.698,              0.0010396,              0.0010396,              0.0010396
                     70,                 1.0916,                0.83968,                 1.2732,                0.82547,                0.69448,                0.78511,                0.43886,                  1.566,                 1.0527,                 1.7743,              0.0010365,              0.0010365,              0.0010365
                     71,                 1.0437,                0.79251,                 1.2279,                 0.8403,                0.82372,                0.90984,                0.56713,                 1.3583,                0.79981,                 1.6187,              0.0010334,              0.0010334,              0.0010334
                     72,                 1.0393,                0.82386,                 1.2372,                0.87141,                0.75147,                  0.871,                0.52762,                 1.3845,                0.87448,                 1.6719,              0.0010303,              0.0010303,              0.0010303
                     73,                 1.0384,                 0.8028,                 1.2414,                0.78691,                0.70737,                0.81854,                0.48514,                 1.4931,                0.95463,                 1.7592,              0.0010273,              0.0010273,              0.0010273
                     74,                 1.0348,                0.77849,                 1.2321,                0.85319,                0.76162,                0.84541,                0.51738,                 1.3958,                 0.8514,                 1.6314,              0.0010242,              0.0010242,              0.0010242
                     75,                 1.0485,                0.80742,                 1.2241,                0.83543,                0.69365,                0.79619,                 0.4878,                 1.3975,                0.90326,                 1.6453,              0.0010211,              0.0010211,              0.0010211
                     76,                 1.0677,                0.83764,                  1.245,                0.85507,                0.72071,                0.87026,                0.55566,                 1.3452,                0.83586,                 1.5814,               0.001018,               0.001018,               0.001018
                     77,                 1.0183,                   0.75,                 1.1971,                0.80313,                 0.7315,                0.86179,                0.55153,                  1.369,                0.83432,                 1.6225,              0.0010149,              0.0010149,              0.0010149
                     78,                 1.0328,                0.79009,                 1.2257,                0.91406,                0.77972,                0.89852,                0.60723,                 1.2972,                0.76317,                 1.5753,              0.0010118,              0.0010118,              0.0010118
                     79,                 1.0475,                0.79132,                   1.23,                0.88255,                0.74767,                0.87195,                0.53581,                  1.409,                0.86453,                 1.6763,              0.0010087,              0.0010087,              0.0010087
                     80,                 1.0661,                0.81006,                 1.2474,                0.86336,                0.79291,                0.88836,                0.55742,                 1.4262,                0.85948,                 1.6813,              0.0010056,              0.0010056,              0.0010056
                     81,                  1.011,                0.78792,                 1.2163,                0.85831,                0.75703,                0.87245,                0.56475,                  1.372,                0.91701,                 1.6115,              0.0010025,              0.0010025,              0.0010025
                     82,                 1.0268,                0.76019,                 1.2077,                0.83054,                 0.7684,                0.89607,                0.54829,                 1.4568,                0.83606,                 1.7405,             0.00099941,             0.00099941,             0.00099941
                     83,                 1.0017,                0.76313,                 1.2242,                0.90372,                0.79122,                0.91386,                0.59442,                  1.346,                0.76066,                 1.5999,             0.00099631,             0.00099631,             0.00099631
                     84,                 1.0019,                0.75343,                 1.2281,                0.88854,                 0.8088,                0.87081,                0.54729,                 1.3807,                0.82983,                 1.6445,             0.00099322,             0.00099322,             0.00099322
                     85,                 1.0342,                0.80611,                 1.2368,                0.84387,                0.78035,                0.86693,                0.53605,                 1.3953,                0.86822,                 1.6364,             0.00099013,             0.00099013,             0.00099013
                     86,                 1.0093,                 0.7603,                 1.2117,                0.89294,                0.78616,                0.88509,                0.57672,                 1.3826,                0.79307,                  1.624,             0.00098703,             0.00098703,             0.00098703
                     87,                0.97232,                0.75829,                  1.195,                0.81601,                0.81135,                0.90736,                0.59997,                  1.345,                0.74393,                   1.58,             0.00098394,             0.00098394,             0.00098394
                     88,                 1.0031,                0.77083,                 1.2109,                0.90696,                0.82007,                  0.911,                0.59055,                 1.3372,                0.78516,                 1.5768,             0.00098084,             0.00098084,             0.00098084
                     89,                 1.0356,                0.80969,                 1.2324,                0.85949,                0.80861,                0.91218,                0.59447,                 1.3857,                0.88098,                  1.636,             0.00097775,             0.00097775,             0.00097775
                     90,                0.98923,                0.76613,                 1.1904,                0.79634,                0.82722,                0.90023,                0.61702,                 1.2785,                0.77462,                 1.5589,             0.00097466,             0.00097466,             0.00097466
                     91,                 0.9677,                0.73888,                 1.1938,                0.80366,                0.82386,                0.88648,                0.59426,                 1.2806,                 0.7443,                 1.5429,             0.00097156,             0.00097156,             0.00097156
                     92,                0.96368,                0.73828,                 1.1884,                  0.868,                0.84357,                0.91308,                0.60826,                 1.2992,                 0.7797,                 1.5539,             0.00096847,             0.00096847,             0.00096847
                     93,                0.98971,                0.73832,                 1.2027,                0.71759,                0.83799,                0.84498,                0.54038,                 1.3453,                0.88326,                  1.615,             0.00096537,             0.00096537,             0.00096537
                     94,                0.98278,                0.75117,                 1.1862,                0.86105,                0.76941,                0.86766,                0.57244,                 1.3474,                0.84476,                 1.6073,             0.00096228,             0.00096228,             0.00096228
                     95,                0.97679,                0.74674,                 1.1884,                0.88437,                0.80517,                0.91051,                0.58943,                 1.3194,                0.73883,                 1.5852,             0.00095919,             0.00095919,             0.00095919
                     96,                0.97787,                 0.7411,                 1.1865,                0.87011,                0.83364,                0.92796,                0.61943,                 1.2499,                0.73442,                 1.5087,             0.00095609,             0.00095609,             0.00095609
                     97,                0.95763,                0.71491,                 1.1682,                0.86353,                0.78832,                0.89292,                0.57438,                 1.3322,                0.82409,                 1.5533,               0.000953,               0.000953,               0.000953
                     98,                0.99339,                0.75117,                  1.204,                0.84775,                0.84417,                0.90802,                0.59343,                  1.309,                0.75428,                 1.5789,             0.00094991,             0.00094991,             0.00094991
                     99,                0.99981,                0.77299,                 1.2124,                0.88028,                0.77474,                0.90524,                0.58234,                 1.3764,                0.79974,                 1.6302,             0.00094681,             0.00094681,             0.00094681
                    100,                0.96454,                0.74021,                 1.1845,                0.88202,                0.81413,                0.89008,                0.59902,                 1.2718,                0.79297,                 1.5363,             0.00094372,             0.00094372,             0.00094372
                    101,                0.97066,                0.70286,                 1.1851,                0.87676,                  0.798,                0.89058,                 0.5845,                 1.3261,                0.76386,                 1.6024,             0.00094062,             0.00094062,             0.00094062
                    102,                 1.0041,                0.75352,                 1.2108,                0.79955,                0.85791,                0.88297,                0.58095,                 1.3331,                0.75762,                 1.6002,             0.00093753,             0.00093753,             0.00093753
                    103,                0.96567,                0.71004,                   1.18,                0.88079,                0.77985,                0.90033,                0.57094,                 1.3151,                0.71702,                  1.567,             0.00093444,             0.00093444,             0.00093444
                    104,                0.98546,                  0.733,                 1.1939,                0.82263,                0.86458,                0.90947,                0.58826,                 1.3813,                0.81215,                  1.631,             0.00093134,             0.00093134,             0.00093134
                    105,                0.99584,                0.72943,                 1.1968,                0.82068,                0.84306,                0.90445,                0.56413,                 1.3272,                0.73012,                 1.5773,             0.00092825,             0.00092825,             0.00092825
                    106,                0.97251,                0.75105,                 1.1852,                0.91839,                0.82413,                0.93332,                0.63282,                 1.2688,                0.74332,                 1.5591,             0.00092516,             0.00092516,             0.00092516
